кто	дата	счет	статья	сумма	примечания	остаток после					счета		
Л	15.03.2016	кошелек.Л	В долг	-5 000,00	Оксана	19 900,00	2016.3						
Л	15.03.2016	кошелек.Л	В долг	-4 500,00	за экскурсию	15 400,00	2016.3						
Л	15.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	15 330,00	2016.3						
Л	15.03.2016	кошелек.Л	продукты	-530,00	продукты	14 800,00	2016.3						
Л	16.03.2016	кошелек.Л	кофе	-150,00	кофе	14 650,00	2016.3						
Л	16.03.2016	кошелек.Л	еда.обед	-205,00	еда	14 445,00	2016.3						
Л	17.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	14 375,00	2016.3						
Л	17.03.2016	сбер.вклад	перевод	-30 000,00	л.карта.сбер	741 102,13	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	30 000,00	приход на л.карта.сбер	30 076,00	2016.3						
Л	17.03.2016	л.карта.сбер	ЖКХ	-747,00	мосэнерго и телефон смольная	29 329,00	2016.3						
Л	17.03.2016	кошелек.Л	красота	-1 600,00	маникюр	12 775,00	2016.3						
Л	17.03.2016	кошелек.Л	перевод	-10 000,00	л.карта.сбер	2 775,00	2016.3						
Л	17.03.2016	кошелек.Л	продукты	-90,00	фрукты	2 685,00	2016.3						
Л	17.03.2016	кошелек.Л	сигареты	-90,00	сигареты	2 595,00	2016.3						
Л	17.03.2016	кошелек.Л	еда.обед	-252,00	обед	2 343,00	2016.3						
В	16.03.2016	кошелек.В	Отдал члену семьи	-6 500,00	др Сони	17 300,00	2016.3						
В	17.03.2016	кошелек.В	продукты	-500,00		16 800,00	2016.3						
В	17.03.2016	карта зарпл.В	еда.обед	-300,00		1 426,64	2016.3						
В	16.03.2016	карта зарпл.В	еда.обед	-305,00		1 121,64	2016.3						
В	17.03.2016	кошелек.В	продукты	-100,00		16 700,00	2016.3						
Л	17.03.2016	л.карта.сбер	перевод	-14 000,00	сбер.вклад	15 329,00	2016.3						
